text,label,category
"Здравствуйте, служба безопасности банка. По вашей карте зафиксирована подозрительная операция, назовите код из смс для отмены",scam,fake_bank
"Ваша карта заблокирована. Для разблокировки продиктуйте код из sms сотруднику банка",scam,fake_bank
"Банк: зафиксирован вход в приложение с нового устройства, если это не вы сообщите код из смс",scam,fake_bank
"Сәлеметсіз бе, банктің қауіпсіздік қызметі. Картаңыз бұғатталды, смс кодын айтыңыз",scam,fake_bank
"Отдел безопасности банка беспокоит, для отмены перевода назовите одноразовый код",scam,fake_bank
"Ваш аккаунт egov будет удалён, срочно перейдите по ссылке и подтвердите данные http://egov-kz.info",scam,phishing
"Перейдите по ссылке для подтверждения карты kaspii.kz и войдите в личный кабинет",scam,phishing
"Обновите данные банка по ссылке иначе счёт заблокируют, войдите по ссылке прямо сейчас",scam,phishing
"Подтвердите данные карты по ссылке, срочно перейдите пока доступ не закрыли",scam,phishing
"Поздравляем! Вы выиграли 1000000 тенге в акции, оплатите комиссию для получения приза",scam,fake_prize
"Вам положена компенсация от государства, для выплаты оплатите налог 5000 тенге",scam,fake_prize
"Құттықтаймыз! Сіз сыйлық ұтып алдыңыз, алу үшін комиссия төлеңіз",scam,fake_prize
"Вы победитель розыгрыша, чтобы получить выплату переведите комиссию на счёт",scam,fake_prize
"Это следователь прокуратуры, на вас оформлен кредит, срочно переведите деньги на безопасный счёт",scam,fake_police
"Полиция, по вашему счёту возбуждено уголовное дело, для проверки переведите средства",scam,fake_police
"Вам звонит сотрудник полиции, ваши деньги под угрозой, переведите на безопасный счёт",scam,fake_police
"Прокуратура, на ваше имя оформлен кредит мошенниками, срочно переведите деньги",scam,fake_police
"Оплатите через каспи по ссылке kaspi.link чтобы получить перевод от отправителя",scam,kaspi_scam
"Каспи перевод ожидает подтверждения, подтвердите оплату по ссылке прямо сейчас",scam,kaspi_scam
"Вам поступил перевод kaspi, для зачисления перейдите по ссылке и подтвердите оплату",scam,kaspi_scam
"Служба безопасности, зафиксирована попытка списания, назовите код из смс немедленно",scam,fake_bank
"Ваша карта будет заблокирована через час, сообщите код из sms чтобы отменить",scam,fake_bank
"Вы выиграли автомобиль в лотерею, оплатите комиссию за оформление приза",scam,fake_prize
"Отдел по борьбе с мошенничеством, переведите средства на безопасный счёт для защиты",scam,fake_police
"Привет, ты во сколько завтра будешь дома?",safe,
"Напоминание: запись к врачу сегодня в 15:00",safe,
"Мама, купи хлеб и молоко пожалуйста",safe,
"Ваш заказ №123 доставлен, спасибо за покупку",safe,
"Сәлем, кездесу ертең сағат онда болады",safe,
"Собрание в офисе перенесено на понедельник",safe,
"Спасибо за оплату, чек отправлен на почту",safe,
"Балалар бақшасы ертең жабық болады",safe,
"Давай встретимся в кафе на обед в час дня",safe,
"Код подтверждения для входа 4821, никому не сообщайте",safe,
"Встреча с клиентом в 14:00, не опаздывай пожалуйста",safe,
"Спасибо, документы получил, всё в порядке",safe,
"Ертең жиналыс болады, кешікпе",safe,
"Заказ такси подтверждён, машина будет через 5 минут",safe,
"С днём рождения, здоровья и счастья тебе",safe,
"Оплата за интернет прошла успешно, спасибо",safe,
"Напоминаем о встрече выпускников в субботу вечером",safe,
"Ваш баланс пополнен на 5000 тенге",safe,
"Посылка прибыла в отделение, заберите до пятницы",safe,
"Урок английского перенесён на завтра утром",safe,
