id,text,lang,label,category,source,is_synthetic
1,Напоминание: срок оплаты за обучение до 25.12. Сумма 44 000 тг,ru,safe,legitimate,synthetic_template_kz,1
2,Еске салу: оқу ақысын 7.9 дейін төлеу қажет. Сома 80 600 тг,kk,safe,legitimate,synthetic_template_kz,1
3,Пополнение 24 700 тг на карту *6728. Баланс 6 000 000 тг,ru,safe,legitimate,synthetic_template_kz,1
4,"Bank RBK: покупка 2 000 000 тг, карта *5076. Доступно 8 000 000 тг",ru,safe,legitimate,synthetic_template_kz,1
5,Jusan Bank қауіпсіздік қызmеті: 40 600 тг күдікті аудаpым. +7 744 177 40 71 нөміріне жедел хабaрласыңыз,kk,scam,fake_bank,synthetic_template_kz,1
6,"Занятие по английскому переносится на 15:00, аудитория 352",ru,safe,legitimate,synthetic_template_kz,1
7,Тұрғын үй бағдарламалары мен жаңалықтары.,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
8,Повестка в суд по делу №43008. Материалы дела: kaspi.kz.secure-login.cc,ru,scam,fake_police,synthetic_template_kz,1
9,Kaspi Магазин: ваш товар продан. Для получения 44 000 тг перейдите enpf-vyplata.ru,ru,scam,kaspi_scam,synthetic_template_kz,1
10,Bereke Bank. Списание 39 000 тг одобрено. Отменить операцию: kaspi.kz.secure-login.cc,ru,scam,fake_bank,synthetic_template_kz,1
11,Нөміріңіз Activ акциясының жеңімпазы атанды! Жүлде 7 000 000 тг. Растаңыз: jusan-secure.info,kk,scam,fake_prize,synthetic_template_kz,1
12,Салық берешегі 2 000 000 тг. Онлайн өтеу: halyk-verify.xyz,kk,scam,phishing,synthetic_template_kz,1
13,№458140 тапсырысыңыз Boxberry пунктіне жетті. 5 күн ішінде алыңыз,kk,safe,legitimate,synthetic_template_kz,1
14,"Несие бойынша сақтандыруды қайтару. Өтемақы тиесілі ме, тексеріңіз: +7 756 941 20 70",kk,suspicious,grey_marketing,synthetic_template_kz,1
15,Деректeріңіз расталмағандықтан шотыңыз 2 сағат ішінде жабылады. Сауaлнаманы жаңартыңыз: gov-kz.support,kk,scam,fake_bank,synthetic_template_kz,1
16,ForteBank.  14  000 тг есептен шығару бекітілді. Болдырмау үшін: enpf-vyplata.ru,kk,scam,fake_bank,synthetic_template_kz,1
17,Одобрен займ до 92 000 тг без справок и залога. Оформить за 5 минут: wildberries.kz,ru,suspicious,grey_marketing,synthetic_template_kz,1
18,Ваш счет будет закрыт сегодня до 18:00 из-за неподтвержденных данных. Обновите анкету: kz-vyigrysh.net,ru,scam,fake_bank,synthetic_template_kz,1
19,Ваш номер участвует в перерасчете пенсии. Заполните форму gov-kz.support до конца недели,ru,scam,phishing,synthetic_template_kz,1
20,Сіздің емтихандарыңызға дайындық басталды.,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
21,*1431 картаға 1 000 000 тг толықтырылды. Баланс 1 000 000 тг,kk,safe,legitimate,synthetic_template_kz,1
22,Национальный Банк РК: на ваше имя заведено производство. Явитесь или ознакомьтесь bonus-kz.click,ru,scam,fake_police,synthetic_template_kz,1
23,Kaspi: код 209359. Ешкімге айтпаңыз.,kk,safe,legitimate,synthetic_template_kz,1
24,"Kaspi Gold: код 8599. Никому не сообщайте. Если это не вы, звоните +7 765 395 31 79",ru,scam,kaspi_scam,synthetic_template_kz,1
25,Мерейтойлық  ұтыс!  Сізге 27 000 тг бонус есептелді. Шығару үшін 7228 тг комиссия төлеңіз,kk,scam,fake_prize,synthetic_template_kz,1
26,Бесплатная диагностика организма в нашей клинике. Запись на сегодня +7 715 367 83 62,ru,suspicious,grey_marketing,synthetic_template_kz,1
27,"Оплата ЖКХ за май принята, сумма 39 800 tг",ru,safe,legitimate,synthetic_template_kz,1
28,№325739 тапсырысыңыз Яндекс Доставка пунктіне жетті. 5 күн ішінде алыңыз,kk,safe,legitimate,synthetic_template_kz,1
29,"izi: тариф ұзартылды, 3294 тг есептен шығарылды !!!",kk,safe,legitimate,synthetic_template_kz,1
