text,label,category,lang,source
"Здравствуйте, служба безопасности банка. По вашей карте зафиксирована подозрительная операция, назовите код из смс для отмены",scam,fake_bank,,seed
Ваша карта заблокирована. Для разблокировки продиктуйте код из sms сотруднику банка,scam,fake_bank,,seed
"Банк: зафиксирован вход в приложение с нового устройства, если это не вы сообщите код из смс",scam,fake_bank,,seed
"Сәлеметсіз бе, банктің қауіпсіздік қызметі. Картаңыз бұғатталды, смс кодын айтыңыз",scam,fake_bank,,seed
"Отдел безопасности банка беспокоит, для отмены перевода назовите одноразовый код",scam,fake_bank,,seed
"Ваш аккаунт egov будет удалён, срочно перейдите по ссылке и подтвердите данные http://egov-kz.info",scam,phishing,,seed
Перейдите по ссылке для подтверждения карты kaspii.kz и войдите в личный кабинет,scam,phishing,,seed
"Обновите данные банка по ссылке иначе счёт заблокируют, войдите по ссылке прямо сейчас",scam,phishing,,seed
"Подтвердите данные карты по ссылке, срочно перейдите пока доступ не закрыли",scam,phishing,,seed
"Поздравляем! Вы выиграли 1000000 тенге в акции, оплатите комиссию для получения приза",scam,fake_prize,,seed
"Вам положена компенсация от государства, для выплаты оплатите налог 5000 тенге",scam,fake_prize,,seed
"Құттықтаймыз! Сіз сыйлық ұтып алдыңыз, алу үшін комиссия төлеңіз",scam,fake_prize,,seed
"Вы победитель розыгрыша, чтобы получить выплату переведите комиссию на счёт",scam,fake_prize,,seed
"Это следователь прокуратуры, на вас оформлен кредит, срочно переведите деньги на безопасный счёт",scam,fake_police,,seed
"Полиция, по вашему счёту возбуждено уголовное дело, для проверки переведите средства",scam,fake_police,,seed
"Вам звонит сотрудник полиции, ваши деньги под угрозой, переведите на безопасный счёт",scam,fake_police,,seed
"Прокуратура, на ваше имя оформлен кредит мошенниками, срочно переведите деньги",scam,fake_police,,seed
Оплатите через каспи по ссылке kaspi.link чтобы получить перевод от отправителя,scam,kaspi_scam,,seed
"Каспи перевод ожидает подтверждения, подтвердите оплату по ссылке прямо сейчас",scam,kaspi_scam,,seed
"Вам поступил перевод kaspi, для зачисления перейдите по ссылке и подтвердите оплату",scam,kaspi_scam,,seed
"Служба безопасности, зафиксирована попытка списания, назовите код из смс немедленно",scam,fake_bank,,seed
"Ваша карта будет заблокирована через час, сообщите код из sms чтобы отменить",scam,fake_bank,,seed
"Вы выиграли автомобиль в лотерею, оплатите комиссию за оформление приза",scam,fake_prize,,seed
"Отдел по борьбе с мошенничеством, переведите средства на безопасный счёт для защиты",scam,fake_police,,seed
"Привет, ты во сколько завтра будешь дома?",safe,,,seed
Напоминание: запись к врачу сегодня в 15:00,safe,,,seed
"Мама, купи хлеб и молоко пожалуйста",safe,,,seed
"Ваш заказ №123 доставлен, спасибо за покупку",safe,,,seed
"Сәлем, кездесу ертең сағат онда болады",safe,,,seed
Собрание в офисе перенесено на понедельник,safe,,,seed
"Спасибо за оплату, чек отправлен на почту",safe,,,seed
Балалар бақшасы ертең жабық болады,safe,,,seed
Давай встретимся в кафе на обед в час дня,safe,,,seed
"Код подтверждения для входа 4821, никому не сообщайте",safe,,,seed
"Встреча с клиентом в 14:00, не опаздывай пожалуйста",safe,,,seed
"Спасибо, документы получил, всё в порядке",safe,,,seed
"Ертең жиналыс болады, кешікпе",safe,,,seed
"Заказ такси подтверждён, машина будет через 5 минут",safe,,,seed
"С днём рождения, здоровья и счастья тебе",safe,,,seed
"Оплата за интернет прошла успешно, спасибо",safe,,,seed
Напоминаем о встрече выпускников в субботу вечером,safe,,,seed
Ваш баланс пополнен на 5000 тенге,safe,,,seed
"Посылка прибыла в отделение, заберите до пятницы",safe,,,seed
Урок английского перенесён на завтра утром,safe,,,seed
Напоминание: срок оплаты за обучение до 25.12. Сумма 44 000 тг,safe,,ru,synthetic_template_kz
Еске салу: оқу ақысын 7.9 дейін төлеу қажет. Сома 80 600 тг,safe,,kk,synthetic_template_kz
Пополнение 24 700 тг на карту *6728. Баланс 6 000 000 тг,safe,,ru,synthetic_template_kz
"Bank RBK: покупка 2 000 000 тг, карта *5076. Доступно 8 000 000 тг",safe,,ru,synthetic_template_kz
Jusan Bank қауіпсіздік қызmеті: 40 600 тг күдікті аудаpым. +7 744 177 40 71 нөміріне жедел хабaрласыңыз,scam,fake_bank,kk,synthetic_template_kz
"Занятие по английскому переносится на 15:00, аудитория 352",safe,,ru,synthetic_template_kz
Тұрғын үй бағдарламалары мен жаңалықтары.,safe,,kk,github_Yerassyl04_Spam-kazakh
Повестка в суд по делу №43008. Материалы дела: kaspi.kz.secure-login.cc,scam,fake_police,ru,synthetic_template_kz
Kaspi Магазин: ваш товар продан. Для получения 44 000 тг перейдите enpf-vyplata.ru,scam,kaspi_scam,ru,synthetic_template_kz
Bereke Bank. Списание 39 000 тг одобрено. Отменить операцию: kaspi.kz.secure-login.cc,scam,fake_bank,ru,synthetic_template_kz
Нөміріңіз Activ акциясының жеңімпазы атанды! Жүлде 7 000 000 тг. Растаңыз: jusan-secure.info,scam,fake_prize,kk,synthetic_template_kz
Салық берешегі 2 000 000 тг. Онлайн өтеу: halyk-verify.xyz,scam,phishing,kk,synthetic_template_kz
№458140 тапсырысыңыз Boxberry пунктіне жетті. 5 күн ішінде алыңыз,safe,,kk,synthetic_template_kz
"Несие бойынша сақтандыруды қайтару. Өтемақы тиесілі ме, тексеріңіз: +7 756 941 20 70",suspicious,,kk,synthetic_template_kz
Деректeріңіз расталмағандықтан шотыңыз 2 сағат ішінде жабылады. Сауaлнаманы жаңартыңыз: gov-kz.support,scam,fake_bank,kk,synthetic_template_kz
ForteBank.  14  000 тг есептен шығару бекітілді. Болдырмау үшін: enpf-vyplata.ru,scam,fake_bank,kk,synthetic_template_kz
Одобрен займ до 92 000 тг без справок и залога. Оформить за 5 минут: wildberries.kz,suspicious,,ru,synthetic_template_kz
Ваш счет будет закрыт сегодня до 18:00 из-за неподтвержденных данных. Обновите анкету: kz-vyigrysh.net,scam,fake_bank,ru,synthetic_template_kz
Ваш номер участвует в перерасчете пенсии. Заполните форму gov-kz.support до конца недели,scam,phishing,ru,synthetic_template_kz
Сіздің емтихандарыңызға дайындық басталды.,safe,,kk,github_Yerassyl04_Spam-kazakh
*1431 картаға 1 000 000 тг толықтырылды. Баланс 1 000 000 тг,safe,,kk,synthetic_template_kz
Национальный Банк РК: на ваше имя заведено производство. Явитесь или ознакомьтесь bonus-kz.click,scam,fake_police,ru,synthetic_template_kz
Kaspi: код 209359. Ешкімге айтпаңыз.,safe,,kk,synthetic_template_kz
"Kaspi Gold: код 8599. Никому не сообщайте. Если это не вы, звоните +7 765 395 31 79",scam,kaspi_scam,ru,synthetic_template_kz
Мерейтойлық  ұтыс!  Сізге 27 000 тг бонус есептелді. Шығару үшін 7228 тг комиссия төлеңіз,scam,fake_prize,kk,synthetic_template_kz
Бесплатная диагностика организма в нашей клинике. Запись на сегодня +7 715 367 83 62,suspicious,,ru,synthetic_template_kz
"Оплата ЖКХ за май принята, сумма 39 800 tг",safe,,ru,synthetic_template_kz
№325739 тапсырысыңыз Яндекс Доставка пунктіне жетті. 5 күн ішінде алыңыз,safe,,kk,synthetic_template_kz
"izi: тариф ұзартылды, 3294 тг есептен шығарылды !!!",safe,,kk,synthetic_template_kz
Bereke Bank қауіпсіздік қызметі: 79 000 тг күдікті аударым. +7 772 359 82 30 нөміріне жедел хабарласыңыз,scam,fake_bank,kk,synthetic_template_kz
Повестка в суд по делу №17991. Материалы дела: wb-kz-rize.shop,scam,fake_police,ru,synthetic_template_kz
Kaspi Магазин: тауарыңыз сатылды. 25 800 тг алу үшін өтіңіз kaspi.kz.secure-login.cc,scam,kaspi_scam,kk,synthetic_template_kz
"На вас оформлен кредит мошенниками. Дело ведет Национальный Банк РК, оператор +7 755 853 52 96",scam,fake_police,ru,synthetic_template_kz
Kaspi: код 17273. Никому не сообщайте.,safe,,ru,synthetic_template_kz
Temu: сәлемдемеңіз кеденде тұр. 847 тг баж салығын төлеңіз: jusan-secure.info,scam,phishing,kk,synthetic_template_kz
izi: аптасына 672 тг жазылым қосылды. Өшіру *710#,suspicious,,kk,synthetic_template_kz
"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 778 926 34 21",suspicious,,ru,synthetic_template_kz
Служба безопасности Eurasian Bank: подозрительный перевод на 72 000 тг. Свяжитесь с оператором +7 789 487 35 91 немедленно,scam,fake_bank,ru,synthetic_template_kz
№971300 тапсырысыңыз Яндекс Доставка пунктіне жетті. 5 күн ішінде алыңыз,safe,,kk,synthetic_template_kz
Заработок из дома от 71 000 тг в Hеделю. Пишите в WhatsApp +7 762 542 39 35,suspicious,,ru,synthetic_template_kz
Трейдинг курстары. Бірінші сбақ тегін. Тіркелу +7 719 594 22 24,suspicious,,kk,synthetic_template_kz
*2603 картаға 64 600 тг толықтырылды. Баланс 63 000 тг,safe,,kk,synthetic_template_kz
Бесплатная диагностика организма в нашей клинике. Запись на сегодня +7 706 771 71 77,suspicious,,ru,synthetic_template_kz
Курсы трейдинга. Первое занятие бесплатно. Запись +7 778 699 16 57,suspicious,,ru,synthetic_template_kz
Обновление базы ЕНПФ. Вам начислена выплата 30 000 тг. Получить: kaspi-gold.site,scam,phishing,ru,synthetic_template_kz
"Halyk Bank: жеке кабинетіңізге жаңа құрылғыдан кіру әрекеті тіркелді. Егер бұл сіз болмасаңыз, растаңыз: kaspi-bonus.top",scam,fake_bank,kk,synthetic_template_kz
Activ:  остаток  26 ГБ и 787 минут до 4.9,safe,,ru,synthetic_template_kz
Ерте тұру қажет болса ерте жат,safe,,kk,github_Yerassyl04_Spam-kazakh
Заработок из дома от 62 400 тг в неделю. Пишите в WhatsApp +7 709 336 70 10,suspicious,,ru,synthetic_template_kz
"Eurasian Bank: одобрен кредит на 27 300 тг. Если вы не подавали заявку, отмените здесь forte-cabinet.pro",scam,fake_bank,ru,synthetic_template_kz
"ForteBank: покупка 6 000 000 тг, карта *4272. Доступно 9 000 000 тг",safe,,ru,synthetic_template_kz
Kaspi Магазин: тауарыңыз сатылды. 7 000 000 тг алу үшін өтіңіз jusan-secre.info,scam,kaspi_scam,kk,synthetic_template_kz
"Требуются сотрудники, график свободный, оплата ежедневно 15 000 тг. Telegram по номеру +7 782 243 61 76",suspicious,,ru,synthetic_template_kz
Біздің жаңа жобамызды қараңыз.,safe,,kk,github_Yerassyl04_Spam-kazakh
Kaspi: перевод 64 000 тг от Гульнара ожидает подтверждения. Подтвердить: halyk-verify.xyz,scam,kaspi_scam,ru,synthetic_template_kz
Өзіңіздің медициналық тексеруіңізді жоспарлаңыз.,safe,,kk,github_Yerassyl04_Spam-kazakh
"Үйден жұмыс, аптасына 80 000 тг табыс. WhatsApp +7 778 413 10 47 жазыңыз",suspicious,,kk,synthetic_template_kz
ЖСН нөміріңіз заңсыз операцияда қолданылған. Тергеуші хабарласады: +7 719 809 18 28. Үшінші тұлғаларға айтпаңыз,scam,fake_police,kk,synthetic_template_kz
Одобрен займ до 7 000 000 тг без справок и залога. Оформить за 5 минут: egov.kz,suspicious,,ru,synthetic_template_kz
Ваш ИИН использован в незаконной операции. Следователь свяжется с вами: +7 717 530 49 92. Не сообщайте третьим лицам,scam,fake_police,ru,synthetic_template_kz
Одобрен займ до 5 000 000 тг без справок и залога. Оформить за 5 минут: kaspi.kz,suspicious,,ru,synthetic_template_kz
Tele2: SIM картаңыздың мерзімі бітуде. Тіркеуді ұзартыңыз kz-vyigrysh.net,scam,phishing,kk,synthetic_template_kz
"Такси прибыло. Chevrolet Cobalt, гос. ноер 832 CCF 01",safe,,ru,synthetic_template_kz
Мерейтойлық ұтыс! Сізге 80 600 тг бонус есептелді. Шығару үшін 9771 тг комиссия төлеңіз,scam,fake_prize,kk,synthetic_template_kz
Сіздің жүлдеіңіз дайын!,suspicious,,kk,github_Yerassyl04_Spam-kazakh
Kaspi: Әйгерім жіберген 70 000 тг аударым растауды күтуде. Растау: gov-kz.support,scam,kaspi_scam,kk,synthetic_template_kz
Kaspi Red: рассрочка на 9 000 000 тг оформлена. Отменить gov-kz.support,scam,kaspi_scam,ru,synthetic_template_kz
"Мама, я задержусь, буду примерно к 21 часам",safe,,ru,synthetic_template_kz
"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 704 665 48 31",suspicious,,ru,synthetic_template_kz
Одобрен займ до 4 000 000 тг без справок и залога. Оформить за 5 минут: halykbank.kz,suspicious,,ru,synthetic_template_kz
Тек бүгін ғана - ақшаны қайтарып алыңыз!,suspicious,,kk,github_Yerassyl04_Spam-kazakh
